"medicine_name"
"Digene"
"Gelusil"
"Eno"
"Pantoprazole 40mg"
"Pantocid 40"
"Pan 40"
"Rabeprazole 20mg"
"Rablet 20"
"Omeprazole 20mg"
"Omez 20"
"Esomeprazole 40mg"
"Nexpro 40"
"Lansoprazole 30mg"
"Ranitidine 150mg"
"Aciloc 150"
"Famotidine 20mg"
"Sucralfate suspension"
"Mucaine Gel"
"Pentop 40"
"Razo 20"
"Domperidone 10mg"
"Domstal 10"
"Ondansetron 4mg"
"Ondem 4"
"Vomikind 4mg"
"Perinorm 10mg"
"Levosulpiride 25mg"
"Rabeprazole Domperidone"
"Pantoprazole Domperidone"
"Itopride 50mg"
"Esoz D"
"Ulgel"
"Digene Fizz"
"Alumina Magnesia Simethicone"
"Pudin Hara Capsules"
"Pudin Hara Pearls"
"Loperamide 2mg"
"Imodium 2mg"
"ORS Powder"
"Electral ORS"
"Racel Syrup"
"Racecadotril 10mg"
"Metrogyl 400"
"Ofloxacin Ornidazole"
"Zincovit Syrup (for diarrhea)"
"Eldoper 2mg"
"Spasmo Proxyvon Plus"
"Meftal Spas"
"Drotaverine 80mg"
"Drotin DS"
"Hyoscine Butylbromide"
"Buscopan"
"Normaxin"
"Colospa 135mg"
"IBSguard"
"Creon 10000"
"Creon 25000"
"Pancreatic Enzyme Capsules"
"Hepamerz Sachet"
"Silymarin 140mg"
"Liv 52"
"Isabgol Husk"
"Softovac Powder"
"Lactulose Syrup"
"Cremaffin Plus"
"Dulcolax 5mg"
"Senna Tablets"
"Fybogel"
"Omez D"
"Pan D"
"Razo D"
"Acera D"
"Rablet D"
"Digeraft"
"Gelusil MPS"
"Gaviscon Suspension"
"Cyclopam"
"Spasmoproxyvon NF"
"Colicaid Drops"
"Aristozyme Syrup"
"Neopeptine Drops"
"Neopeptine Syrup"
"Zentel 400mg"
"Albendazole 400mg"
"Bandystar 400"
"O2 Tablet (Ofloxacin Ornidazole)"
"Zifi 200 (for typhoid/enteric)"
"Cefixime 200mg"
"Ciplox TZ"
"Taxim O 200"
"Rifaximin 400mg"
"Normetrogyl"
"Nor Metrogyl Suspension"
"Enteroquinol"
"Smecta Sachet"
"Econorm Sachet"
"Darolac Sachet"
"Prolact Probiotic"
"Vizylac Capsules"
"Sporlac DS"
"Saridon"
"Disprin"
"Disprin Regular Strength"
"Vasograin"
"Naproxen 250mg"
"Naproxen 500mg"
"Paracetamol 650mg (Headache)"
"Crocin Pain Relief"
"Sumatriptan 50mg"
"Rizatriptan 10mg"
"Flunarizine 10mg"
"Stugeron 25mg"
"Cinnarizine 25mg"
"Cinnarizine Domperidone"
"Topiramate 25mg"
"Propranolol 40mg (Migraine)"
"Amitriptyline 10mg"
"Gabapentin 300mg"
"Pregabalin 75mg"
"Sos 100 (Paracetamol Aspirin Caffeine)"
"Headset Tablet"
"Naxdom 500"
"Brufen 200"
"DOLO 650 (Headache use)"
"Combiflam Tablet"
"Betahistine 16mg"
"Betahistine 24mg"
"Vertin 16mg"
"Vertin 24mg"
"Stemetil 5mg"
"Stemetil MD"
"Levocetirizine Montelukast (Sinus headache)"
"Flunarizine 5mg"
"Etoshine 60"
"Etoshine 90"
"Diclofenac 50mg (Headache)"
"Nimucet (Nimesulide Paracetamol)"
"Nise Tablet"
"Flexon Tablet"
"Meftal 500"
"Pacimol 500"
"Sibelium 10mg"
"Domstal OD (Migraine nausea)"
"Ondem MD 4 (Migraine nausea)"
"Vertigon Tablet"
"Vertipress Tablet"
"Stugeron Forte"
"Stugil Tablet"
"Stugeron Plus"
"Emigo OD"
"Levocetirizine 5mg"
"Domperidone Paracetamol combination"
"Zolfresh 5mg"
"Zolfresh 10mg"
"Melatonin 3mg"
"Melatonin 5mg"
